Mixture	blood_highCXCR4_plasmacell	blood_lowCXCR4_plasmacell	blood_end_plasmacell	tonsil_lowCD74_plasmacell	blood_cycling_plasmacell	tonsil_cycling_plasmacell	tonsil_highCD74_plasmacell	blood_plasmablast	P-value	Correlation	RMSE
MMRF_1881	0.477935796703458	0	0.35536021190163	0.100096611942057	0.0621405968367392	0	0.00446678261611576	0	0	0.949473954444026	0.537948326611521
MMRF_1320	0.223772382626587	0	0.187185919110221	0.322179604190399	0.266862094072793	0	0	0	0	0.861454169901406	0.508792260802762
MMRF_2567	0.0434610314788656	0.259730821755189	0	0.616281969611881	0	0.0474404409237849	0.000525627075612517	0.0325601091546674	0	0.139565538328234	1.01677239548992
MMRF_1496	0.420422137409145	0.507055011774762	0	0	0.0206071472116595	0	0.0157371610293384	0.0361785425750945	0	0.42053778186929	0.94870164677169
MMRF_2082	0.210252363608426	0.0679252762020066	0	0.580026272508646	0	0.140657612025359	0.00113847565556318	0	0	0.177147471268897	1.01698255534086
MMRF_2549	0.178970374663483	0.176431960986144	0	0.575469203070941	0	0.0691284612794324	0	0	0	0.491543576634496	0.872323619184745
MMRF_1436	0.33448596524639	0.103551251411829	0.16030816246673	0.345781078367008	0	0.0227816442068991	0	0.033091898301145	0	0.861045134463033	0.508615514967444
MMRF_1151	0.462223639930458	0.0558080469046128	0	0.190105372822636	0	0.237099132101946	0.0197232635852751	0.0350405446550732	0	0.109766999690485	1.10840632410334
MMRF_2153	0.542575235172749	0.174847483707792	0	0.186376582382182	0	0	0.0131544236064276	0.0830462751308489	0	0.647471111226205	0.762812637116838
MMRF_1153	0.489834270261209	0	0.0433900560432841	0.457399622294288	0.00937605140121949	0	0	0	0	0.664796998432299	0.747735145600116
MMRF_2630	0.336631343507586	0.240617050125428	0.301308900229605	0.117395310834766	0	0	0	0.00404739530261496	0	0.857905572005899	0.628374592505826
MMRF_1801	0.635315717200714	0	0.158002386007205	0.0953350287229101	0.11134686806917	0	0	0	0	0.839309140280556	0.592335331233961
MMRF_2290	0.366348203524212	0	0.462165874668754	0	0.163437685077771	0	0.00804823672926335	0	0	0.97772273135331	0.629328204153331
MMRF_2118	0.30025487744005	0.185600271508846	0	0.419822539067748	0	0.0885458098517336	0	0.00577650213162194	0	0.121101513851716	1.07098756208029
MMRF_1952	0.376003999206675	0.168470288590593	0	0.424613970422515	0	0.0237704538270522	0	0.00714128795316441	0	0.512284149586444	0.860643653296499
MMRF_1733	0.426123055692262	0.0702793044536327	0	0.462232917440222	0	0.0186314697005886	0	0.0227332527132949	0	0.507293913760674	0.86450342879927
MMRF_2539	0.473875823530501	0	0.473821300825619	0	0.0390095166077049	0	0.0132933590361752	0	0	0.947846017479637	0.7612604575742
MMRF_1331	0.560835972052221	0	0.193182055455361	0.237788429662561	0.00819354282985708	0	0	0	0	0.921526397665071	0.416885056208178
MMRF_1766	0.361219345928278	0.223306652973961	0.155109941784452	0.253113793368134	0	0.00725026594517505	0	0	0	0.83325128848855	0.558318365863991
MMRF_2220	0.501514382482996	0	0	0.484549395480483	0.0119403279288231	0	0	0.00199589410769805	0	0.684480257981124	0.732545665903764
MMRF_1589	0.519577032556822	0.244693465690638	0.0582325524451604	0.00260293995725381	0	0.151612283511919	0.00309458845306864	0.0201871373851385	0	0.711901288586094	0.710025157156595
MMRF_1625	0.531369064424304	0.199281482612725	0.00583516055143133	0.26351429241154	0	0	0	0	0	0.592204163230184	0.812447159411106
MMRF_1452	0.560392280728059	0.11398763035456	0.0329970169887033	0.0733874210945376	0	0.110348891353747	0.025114921059118	0.0837718384212751	0	0.806666829650395	0.593287250071701
MMRF_2808	0.513259865257914	0.0821995377992504	0	0.156754420715595	0	0.0535267374275815	0.0558189639629832	0.138440474836676	0	0.470350667505906	0.898511729255106
MMRF_1778	0.507613939687887	0.35632231703357	0.125790138201823	0	0	0	0	0.0102736050767188	0	0.837720337933936	0.565723721969937
MMRF_2562	0.246208575206687	0.394188356918896	0.22047432795975	0	0	0.0860752548780039	0.0253454231202519	0.0277080619164114	0	0.899086992741974	0.455346179823402
MMRF_1637	0.145925254939636	0.220888850620725	0.56352538850078	0	0	0.053131072042928	0	0.0165294338959309	0	0.971742232876747	0.727683434952968
MMRF_1309	0.317122228145626	0.284778449651345	0	0.335636793125105	0	0.0128867025921118	0	0.0495758264858119	0	0.208681918129416	1.03877593369288
MMRF_2723	0.156777887115107	0.214570907926905	0.236763535698181	0.391887669259808	0	0	0	0	0	0.94498467952718	0.327275339229966
MMRF_2475	0.266585069744832	0.211224997969689	0.426553324620572	0.0956366076649062	0	0	0	0	0	0.965326417714568	0.54052379940817
MMRF_2749	0.408003980219171	0	0.231608828455307	0.100044575957929	0.223364803937132	0	0.0242221231689698	0.0127556882614905	0	0.958425927187644	0.32238022721655
MMRF_1497	0.244504615228742	0.234874679508143	0	0.431793488759316	0	0.0302326449017737	0	0.0585945716020251	0	0.445888674724766	0.896408269285095
MMRF_1202	0.51934703174162	0.126634794727155	0.00947307049527327	0.341272971953182	0	0	0.00327213108277001	0	0	0.648316076240648	0.761821030764631
MMRF_1627	0.29720299648075	0.54833294001832	0	0.124823545436081	0.000566688496353384	0	0	0.0290738295684959	0	0.616038627974027	0.787560005359202
MMRF_2149	0.347583315897597	0.299595906956516	0	0.202965141297853	0	0.0640618869944929	0.019771627322477	0.066022121531064	0	0.303289168840827	0.993573582121477
MMRF_2125	0.343824208578858	0.24276065153711	0	0.0542217979588774	0	0.137690488575049	0.0565924954489693	0.164910357901135	0	0.435928782444721	0.90957488974637
MMRF_2469	0.408908274748134	0	0.265966857955133	0.0729284675414951	0.240199178234383	0	0.0119972215208549	0	0	0.977928085893787	0.296859441104295
